1,1,1,5,18990
2,1,0,0,20990
3,7,1,3,31459
4,4,1,5,23814
5,1,0,0,19390
1,2,1,10,18780
2,3,1,5,19999
5,8,1,2,20921
1,4,1,8,19119
6,11,0,0,19550
3,11,1,2,31499
10,2,1,3,16490
7,3,1,5,29999
10,10,1,5,16789
10,8,1,1,16999
6,4,1,6,19990
4,6,0,0,23519
7,1,1,8,29459
7,5,1,2,31119
13,7,1,1,11069
13,11,1,15,10989
13,9,1,5,10889
14,1,1,3,6669
15,2,1,20,8791
15,3,1,5,8529
15,11,1,1,8567
14,4,0,0,6329
14,9,1,2,6590
15,6,0,0,8499
17,5,1,7,7429
17,2,1,3,7599
17,10,1,1,7328
17,1,1,9,8119
18,1,1,5,12790
18,2,1,10,12119
18,8,0,0,11999
19,10,1,4,12999
19,1,1,5,12989
19,7,1,15,12789
19,5,1,1,12699
20,4,1,14,9998
20,11,1,2,9119
20,6,1,3,9459
20,5,1,1,9359
3,1,1,15,31990
2,11,1,7,20549
2,10,1,3,20349
4,9,1,5,23748
5,5,0,0,19499
20,5,1,3,9999
20,1,1,10,9599
10,6,1,9,16349
6,2,1,3,19989
22,1,1,2,70879
22,2,1,3,70990
22,8,1,1,70119
22,10,1,2,70379
21,4,1,1,54990
21,9,0,0,54999
21,11,0,0,54999
21,3,1,1,54699
